Label	Weight	Text
l_lui	1	weche anteile sind typ ++
l_lui	1	welche anteile soll ich verkaufen
l_lui	1	wieviel wäre anteil c wert wenn es steigt
l_lui	1	welcher anteil ist am häufigsten gestiegen
l_lui	1	ist anteil a vom typ ++
l_lui	1	anteil am meisten gestiegen
l_lui	1	wie viel wird anteil a in der nächsten periode kosten
l_lui	1	wie wahrscheinlich ist dieser anteil 0
l_lui	1	was kannst du
l_lui	1	was hat gewonnen
l_lui	1	wie oft hat anteil a bisher verloren
l_lui	1	anteil am meisten an wert verloren
l_lui	1	wenn a an wert verliert, wieviel wird er dann wert sein
l_lui	1	meisten gestiegen
l_lui	1	wie oft hat anteil b gewinn gemacht
l_lui	1	wie viel währungseinheiten würde ich erhalten, wenn ich all meine anteile verkaufe
l_lui	1	was kannst du machen
l_lui	1	wenn nächste runde anteil d steigt, wieviel wir es dann wert sein
l_lui	1	wie oft hat anteil f an wert verloren
l_lui	1	wie häufig hat anteil e an wert gewonnen
l_lui	1	wieviel mehr wäre anteil a wert wenn es im wert steigt
l_lui	1	hat anteil a gewonnen
l_lui	1	preis anteil e, wenn nach oben
l_lui	1	wenn in der nächsten periode a steigt, wieviel ist es dann wert
l_lui	1	ist das vom typ ++
l_lui	1	preis anteil f, wenn steigt
l_lui	1	hilfe
l_lui	1	soll ich alles in anteil investieren
l_lui	1	was kannste eig
l_lui	1	wie häufig hat e an wert verloren
l_lui	1	soll ich anteil kaufen
l_lui	1	wie häufig ist c gestiegen
l_lui	1	wieviel ist c bisher gesunken
l_lui	1	wieviel sind meine anteile wert
l_lui	1	ist anteil f gestiegen
l_lui	1	ich brauche hilfe
l_lui	1	wieviel geld würde ich erhalten wenn ich alles verkaufe
l_lui	1	wird anteil f steigen
l_lui	1	welcher anteil ist am meisten gestiegen
l_lui	1	welcher anteil hat bisher am meisten an wert gewonnen
l_lui	1	anteil d vom typ -
l_lui	1	wenn nächste runde anteil e steigt, wieviel wird es dann wert sein
l_lui	1	wenn anteil a verliert, wieviel wird es dann wert sein
l_lui	1	wie viel kostet anteil b, wenn er teurer wird
l_lui	1	wieviel mehr wäre b wert wenn es steigt in der nächsten runde
l_lui	1	meisten wert gewonnen
l_lui	1	wie oft hat anteil f an wert gewonnen
l_lui	1	wie oft ist a gestiegen bisher
l_lui	1	was kannst du
l_lui	1	anteil a hoch
l_lui	1	wert portfolio
l_lui	1	anteil c gewonnen
l_lui	1	anteil am mesiten gesunken
l_lui	1	anteil d gesunken
l_lui	1	wieviel weniger wäre anteil a wert wenn es verliert
l_lui	1	wert anteile
l_lui	1	anteil am häufigsten gestiegen
l_lui	1	welcher anteil hat am häufigsten gewonnen
l_lui	1	wieviel mehr wäre anteil b wert wenn es gewinnt
l_lui	1	wie oft ist f gesunken
l_lui	1	wie viel sind alle meine anteile wert
l_lui	1	wie oft hat b an wert gewonnen
l_lui	1	wenn anteil b an wert verliert, wie viel wird er dann in der folgenden periode wert sein
l_lui	1	welcher anteil hat am häufigsten verloren
l_lui	1	welche anteile sind vom typ --
l_lui	1	wie viel kostet anteil b, wenn er günstiger wird
l_lui	1	wie wahrscheinlich ist es, dass anteil e sinkt
l_lui	1	was ist der preis von anteil a, wenn er günstiger wird
l_lui	1	portfolio
l_lui	1	wie ist meine rendite
l_lui	1	was kannsch
l_lui	1	welcher anteil ist vom typ --
l_lui	1	wie häufig ist anteil c gestiegen
l_lui	1	wie hoch ist meine rendite
l_lui	1	hat anteil a verloren
l_lui	1	wie entwickelt sich der preis von anteil c, wenn er nach oben geht
l_lui	1	wie viel anteil soll ich verkaufen
l_lui	1	empfehlung
l_lui	1	wieviel weniger wäre f wert wenn es im wert sinkt
l_lui	1	ist anteil a höchstwahrscheinlich vom typ +
l_lui	1	was soll ich verkaufen
l_lui	1	am mesiten preissenkungen
l_lui	1	was hat verloren
l_lui	1	welcher anteil ist vom typ o
l_lui	1	wie wahrscheinlich ist anteil b vom typ ++
q_qnamaker	1	Bist du ein Mensch
q_qnamaker	1	Vielen Dank
q_qnamaker	1	Bist du ein Chatbot
q_qnamaker	1	Hallo
q_qnamaker	1	Wie alt bist du
q_qnamaker	1	Wie geht's
q_qnamaker	1	Was bist du
q_qnamaker	1	Was bist du
q_qnamaker	1	Wie gehts
q_qnamaker	1	Wie heißt du
q_qnamaker	1	Thx
q_qnamaker	1	Moin
q_qnamaker	1	Wie geht's dir
q_qnamaker	1	Wie geht es dir
q_qnamaker	1	Wer bist du
q_qnamaker	1	Hey
q_qnamaker	1	Hola
q_qnamaker	1	Hi
